trial_id,trial_type,contrast_type,left_model,right_model,left_ethnicity,left_gender,right_ethnicity,right_gender,covariate_distance,is_attention_check,left_AgeRated,right_AgeRated,left_Attractive,right_Attractive,left_Trustworthy,right_Trustworthy,left_Dominant,right_Dominant,correct_choice,side_randomized,display_left_model,display_right_model,presentation_order,left_image_file,right_image_file
target_54,target,Intersectional_FWvsMB,WF-038,BM-217,W,F,B,M,1.3523670624493893,False,28.7228260869565,24.6551724137931,3.315217391,2.857142857,3.739130435,4.137931034,2.538461538,2.75,,flipped,BM-217,WF-038,42,CFD-BM-217-082-N.jpg,CFD-WF-038-021-N.jpg
target_11,target,GenderOnly_L,LF-221,LM-239,L,F,L,M,1.2584612838824987,False,25.8076923076923,27.5384615384615,2.692307692,2.615384615,3.307692308,3.192307692,2.0,2.807692308,,original,LF-221,LM-239,43,CFD-LF-221-002-N.jpg,CFD-LM-239-075-N.jpg
target_29,target,EthnicityOnly_F_AvsW,AF-232,WF-028,A,F,W,F,1.4026447011557783,False,29.6923076923077,27.25,2.846153846,2.47826087,3.615384615,3.098901099,2.076923077,2.130434783,,flipped,WF-028,AF-232,44,CFD-WF-028-023-N.jpg,CFD-AF-232-078-N.jpg
target_10,target,GenderOnly_L,LF-231,LM-252,L,F,L,M,1.0572709982091737,False,30.3461538461538,28.6666666666667,2.807692308,2.793103448,3.16,3.3,2.76,3.413793103,,flipped,LM-252,LF-231,45,CFD-LM-252-076-N.jpg,CFD-LF-231-260-N.jpg
target_28,target,EthnicityOnly_F_BvsW,BF-241,WF-252,B,F,W,F,1.4609177075737054,False,25.3214285714286,26.4642857142857,4.821428571,3.785714286,3.392857143,3.285714286,2.035714286,2.321428571,,flipped,WF-252,BF-241,46,CFD-WF-252-159-N.jpg,CFD-BF-241-222-N.jpg
target_08,target,GenderOnly_B,BF-018,BM-002,B,F,B,M,1.3372391245503241,False,26.9010989010989,25.1063829787234,3.444444444,3.670212766,3.788888889,3.617021277,2.888888889,3.703703704,,flipped,BM-002,BF-018,47,CFD-BM-002-013-N.jpg,CFD-BF-018-039-N.jpg
target_01,target,GenderOnly_A,AF-229,AM-253,A,F,A,M,1.0887207948487854,False,25.8518518518519,25.0344827586207,4.37037037,3.862068966,3.962962963,3.827586207,2.296296296,2.827586207,,original,AF-229,AM-253,48,CFD-AF-229-160-N.jpg,CFD-AM-253-161-N.jpg
target_26,target,EthnicityOnly_F_BvsW,BF-003,WF-006,B,F,W,F,0.6693812112454632,False,25.8089887640449,24.3368421052632,3.191011236,3.478723404,3.797752809,3.606382979,2.185185185,2.307692308,,flipped,WF-006,BF-003,49,CFD-WF-006-002-N.jpg,CFD-BF-003-003-N.jpg
target_27,target,EthnicityOnly_F_AvsW,AF-201,WF-001,A,F,W,F,1.4450682421230003,False,23.6666666666667,24.9494949494949,3.111111111,3.105263158,3.538461538,3.302083333,2.111111111,3.0,,original,AF-201,WF-001,50,CFD-AF-201-060-N.jpg,CFD-WF-001-003-N.jpg
target_61,target,Intersectional_FLvsMW,LF-252,WM-020,L,F,W,M,1.2873606942658764,False,28.2222222222222,34.9659090909091,3.148148148,2.693181818,3.148148148,3.068181818,2.777777778,2.592592593,,original,LF-252,WM-020,51,CFD-LF-252-172-N.jpg,CFD-WM-020-001-N.jpg
target_37,target,EthnicityOnly_M_BvsW,BM-216,WM-208,B,M,W,M,1.22752335106301,False,29.5384615384615,26.1379310344828,2.148148148,2.655172414,3.851851852,3.586206897,2.576923077,2.178571429,,original,BM-216,WM-208,52,CFD-BM-216-088-N.jpg,CFD-WM-208-068-N.jpg
target_14,target,GenderOnly_W,WF-227,WM-219,W,F,W,M,1.4570657567879994,False,26.9259259259259,22.1666666666667,3.769230769,2.958333333,3.259259259,3.25,3.259259259,2.833333333,,original,WF-227,WM-219,53,CFD-WF-227-002-N.jpg,CFD-WM-219-008-N.jpg
target_35,target,EthnicityOnly_M_AvsW,AM-233,WM-201,A,M,W,M,0.5486333494972804,False,41.1785714285714,38.9130434782609,1.857142857,1.727272727,3.178571429,3.130434783,2.5,2.739130435,,flipped,WM-201,AM-233,54,CFD-WM-201-063-N.jpg,CFD-AM-233-236-N.jpg
target_31,target,EthnicityOnly_F_BvsW,BF-237,WF-244,B,F,W,F,1.4506391498483866,False,33.25,26.6363636363636,4.37037037,3.818181818,3.964285714,3.909090909,2.892857143,2.454545455,,flipped,WF-244,BF-237,55,CFD-WF-244-163-N.jpg,CFD-BF-237-172-N.jpg
target_45,target,Intersectional_FBvsMW,BF-005,WM-003,B,F,W,M,1.082043934268662,False,28.1208791208791,23.3452380952381,4.076923077,3.682926829,3.747252747,3.578313253,3.107142857,3.36,,original,BF-005,WM-003,56,CFD-BF-005-001-N.jpg,CFD-WM-003-002-N.jpg
target_41,target,Intersectional_FBvsMW,BF-017,WM-225,B,F,W,M,1.3963687493794334,False,34.2696629213483,36.8214285714286,2.988636364,3.035714286,3.83908046,3.703703704,2.230769231,3.107142857,,original,BF-017,WM-225,57,CFD-BF-017-003-N.jpg,CFD-WM-225-127-N.jpg
target_57,target,Intersectional_FWvsMB,WF-202,BM-026,W,F,B,M,1.301473468036168,False,27.9655172413793,26.989247311828,3.620689655,3.903225806,3.448275862,3.666666667,2.965517241,3.724137931,,original,WF-202,BM-026,58,CFD-WF-202-056-N.jpg,CFD-BM-026-002-N.jpg
target_48,target,Intersectional_FWvsMB,WF-011,BM-037,W,F,B,M,1.2755883505858985,False,24.0416666666667,20.8888888888889,4.129032258,4.044444444,3.70212766,3.488888889,2.172413793,2.88,,flipped,BM-037,WF-011,59,CFD-BM-037-033-N.jpg,CFD-WF-011-002-N.jpg
target_19,target,EthnicityOnly_F_LvsW,LF-242,WF-003,L,F,W,F,1.3071327942313586,False,23.2222222222222,26.7142857142857,4.461538462,4.89010989,3.692307692,4.054945055,2.259259259,1.888888889,,original,LF-242,WF-003,60,CFD-LF-242-121-N.jpg,CFD-WF-003-003-N.jpg
target_06,target,GenderOnly_B,BF-016,BM-029,B,F,B,M,1.11785667591173,False,27.093023255814,29.8461538461538,2.476190476,3.0,3.226190476,3.538461538,3.25,3.214285714,,original,BF-016,BM-029,61,CFD-BF-016-017-N.jpg,CFD-BM-029-024-N.jpg
target_13,target,GenderOnly_W,WF-014,WM-023,W,F,W,M,0.7277220751196981,False,36.1,37.5934065934066,3.280898876,2.866666667,3.764044944,3.811111111,2.227272727,2.5,,flipped,WM-023,WF-014,62,CFD-WM-023-001-N.jpg,CFD-WF-014-002-N.jpg
target_63,target,Intersectional_FWvsMB,WF-204,BM-226,W,F,B,M,1.3560695011107124,False,25.3928571428571,21.7777777777778,2.107142857,2.740740741,3.071428571,3.37037037,2.142857143,2.5,,flipped,BM-226,WF-204,63,CFD-BM-226-276-N.jpg,CFD-WF-204-038-N.jpg
target_43,target,Intersectional_FBvsMW,BF-039,WM-213,B,F,W,M,1.476641414464769,False,24.876404494382,26.36,3.322222222,3.708333333,3.719101124,3.56,2.111111111,3.0,,original,BF-039,WM-213,64,CFD-BF-039-031-N.jpg,CFD-WM-213-076-N.jpg
attention_4,attention_check,attention_check,AF-224,AM-221,A,F,A,M,,True,28.76,24.1153846153846,3.24,3.230769231,3.291666667,2.846153846,2.8,3.043478261,right,flipped,AM-221,AF-224,65,CFD-AM-221-184-N.jpg,CFD-AF-224-026-N.jpg
target_36,target,EthnicityOnly_F_AvsW,AF-235,WF-207,A,F,W,F,0.92052392706498,False,23.5,24.875,4.192307692,4.458333333,4.269230769,3.958333333,2.153846154,2.375,,flipped,WF-207,AF-235,66,CFD-WF-207-014-N.jpg,CFD-AF-235-170-N.jpg
target_49,target,Intersectional_FAvsMW,AF-206,WM-011,A,F,W,M,1.476255024565534,False,26.5238095238095,30.9886363636364,2.714285714,3.170454545,3.428571429,3.056818182,2.857142857,2.384615385,,flipped,WM-011,AF-206,67,CFD-WM-011-002-N.jpg,CFD-AF-206-079-N.jpg
target_59,target,Intersectional_FWvsMA,WF-010,AM-202,W,F,A,M,1.4476896661780825,False,26.25,26.2222222222222,2.011764706,2.777777778,3.576470588,3.148148148,2.740740741,2.730769231,,original,WF-010,AM-202,68,CFD-WF-010-004-N.jpg,CFD-AM-202-079-N.jpg
