trial_number,image1_filename,image2_filename,trial_type,pair_id,contrast_type,contrast_category,image1_id,image1_gender,image1_ethnicity,image1_age,image1_attractive,image1_dominant,image1_trustworthy,image1_luminance,image2_id,image2_gender,image2_ethnicity,image2_age,image2_attractive,image2_dominant,image2_trustworthy,image2_luminance,covariate_distance,age_diff,attractive_diff,dominant_diff,trustworthy_diff,luminance_diff
25,CFD-AF-208-003-N.jpg,CFD-BM-235-226-N.jpg,regular,Female_Asian_Male_Black_v1,Intersectional_Female_Asian_Male_Black,intersectional,AF-208,Female,Asian,28.5384615384615,3.038461538,3.461538462,3.192307692,135.5,BM-235,Male,Black,28.6896551724138,3.206896552,3.827586207,3.285714286,128.0,0.6775296656209836,0.15119363395229968,0.16843501399999994,0.3660477449999999,0.09340659400000018,7.5
26,CFD-WM-041-021-N.jpg,CFD-AM-232-251-N.jpg,regular,Male_White_Male_Asian_v1,EthnicityOnly_White_Asian,ethnicity,WM-041,Male,White,24.9651162790698,2.141176471,2.56,2.976470588,145.5,AM-232,Male,Asian,27.3076923076923,2.16,2.5,3.0,151.0,0.43025161604207274,2.3425760286224993,0.01882352900000006,0.06000000000000005,0.023529411999999805,5.5
27,CFD-LM-232-204-N.jpg,CFD-LM-235-231-N.jpg,regular,Male_Latino_Male_Latino_v1,WithinGroup_Male_Latino,within_group,LM-232,Male,Latino,31.6538461538462,2.961538462,4.0,3.038461538,158.5,LM-235,Male,Latino,32.1724137931034,3.035714286,3.655172414,3.068965517,150.5,0.5974715795903369,0.5185676392572027,0.07417582400000011,0.3448275860000001,0.030503979000000125,8.0
28,CFD-BF-249-091-N.jpg,CFD-AM-214-168-N.jpg,regular,Female_Black_Male_Asian_v1,Intersectional_Female_Black_Male_Asian,intersectional,BF-249,Female,Black,29.8846153846154,3.615384615,3.076923077,3.307692308,123.5,AM-214,Male,Asian,29.2222222222222,3.888888889,3.222222222,3.407407407,119.0,0.5152294679430496,0.6623931623932009,0.273504274,0.14529914500000007,0.09971509899999997,4.5
29,CFD-BM-208-065-N.jpg,CFD-WF-016-015-N.jpg,regular,Male_Black_Female_White_v1,Intersectional_Male_Black_Female_White,intersectional,BM-208,Male,Black,29.6,3.5,4.103448276,3.366666667,132.0,WF-016,Female,White,25.4111111111111,3.707865169,3.954545455,3.238636364,151.0,1.0383774000922892,4.188888888888901,0.20786516900000018,0.14890282100000007,0.12803030300000007,19.0
30,CFD-LM-234-176-N.jpg,CFD-AF-226-251-N.jpg,regular,Male_Latino_Female_Asian_v1,Intersectional_Male_Latino_Female_Asian,intersectional,LM-234,Male,Latino,30.6071428571429,3.37037037,3.0,3.142857143,160.0,AF-226,Female,Asian,29.24,3.56,2.76,3.04,161.0,0.5452699523945228,1.3671428571429018,0.18962963000000022,0.2400000000000002,0.10285714300000004,1.0
31,CFD-LM-208-110-N.jpg,CFD-AM-201-076-N.jpg,attention_original,Male_Latino_Male_Asian_v1,EthnicityOnly_Latino_Asian,ethnicity,LM-208,Male,Latino,25.1428571428571,2.857142857,2.392857143,3.25,175.0,AM-201,Male,Asian,23.8,3.04,2.48,3.12,166.0,0.5577955816569662,1.342857142857099,0.1828571430000001,0.08714285699999991,0.1299999999999999,9.0
32,CFD-WM-208-068-N.jpg,CFD-LM-200-045-N.jpg,regular,Male_White_Male_Latino_v1,EthnicityOnly_White_Latino,ethnicity,WM-208,Male,White,26.1379310344828,2.655172414,2.178571429,3.586206897,168.5,LM-200,Male,Latino,25.9310344827586,2.607142857,2.034482759,3.464285714,175.0,0.43152926983572987,0.20689655172419918,0.048029557,0.14408866999999992,0.12192118299999999,6.5
33,CFD-WF-220-101-N.jpg,CFD-WF-238-023-N.jpg,regular,Female_White_Female_White_v1,WithinGroup_Female_White,within_group,WF-220,Female,White,24.4137931034483,4.75862069,2.344827586,4.0,174.5,WF-238,Female,White,25.24,4.8,2.24,3.92,173.5,0.2875739818076823,0.8262068965516995,0.04137930999999995,0.10482758599999986,0.08000000000000007,1.0
34,CFD-AM-219-101-N.jpg,CFD-LM-226-175-N.jpg,regular,Male_Asian_Male_Latino_v1,EthnicityOnly_Asian_Latino,ethnicity,AM-219,Male,Asian,36.9,2.517241379,4.133333333,2.3,156.0,LM-226,Male,Latino,37.3913043478261,2.304347826,4.217391304,2.318181818,156.5,0.31705767659288453,0.49130434782610166,0.21289355300000024,0.08405797100000001,0.01818181799999996,0.5
35,CFD-WF-035-024-N.jpg,CFD-AM-225-102-N.jpg,regular,Female_White_Male_Asian_v1,Intersectional_Female_White_Male_Asian,intersectional,WF-035,Female,White,24.7613636363636,3.390804598,2.652173913,3.540229885,146.5,AM-225,Male,Asian,24.68,3.52,2.72,3.6,146.5,0.24359710194433734,0.08136363636360144,0.12919540200000013,0.06782608700000026,0.05977011500000007,0.0
36,CFD-AF-201-060-N.jpg,CFD-LM-212-143-N.jpg,regular,Female_Asian_Male_Latino_v1,Intersectional_Female_Asian_Male_Latino,intersectional,AF-201,Female,Asian,23.6666666666667,3.111111111,2.111111111,3.538461538,172.0,LM-212,Male,Latino,23.08,3.28,2.36,3.48,164.0,0.5358915143787307,0.5866666666667015,0.16888888899999976,0.24888888899999984,0.05846153799999998,8.0
37,CFD-BF-036-027-N.jpg,CFD-AF-250-200-N.jpg,regular,Female_Black_Female_Asian_v1,EthnicityOnly_Black_Asian,ethnicity,BF-036,Female,Black,23.2,3.719101124,1.863636364,3.775280899,129.0,AF-250,Female,Asian,25.1034482758621,3.964285714,2.172413793,3.689655172,140.0,0.7652239268717275,1.9034482758621003,0.24518459000000004,0.30877742900000005,0.08562572700000004,11.0
38,CFD-LF-208-127-N.jpg,CFD-AM-243-212-N.jpg,regular,Female_Latino_Male_Asian_v1,Intersectional_Female_Latino_Male_Asian,intersectional,LF-208,Female,Latino,24.6428571428571,3.571428571,2.178571429,3.444444444,157.0,AM-243,Male,Asian,23.88,3.68,2.2,3.36,152.0,0.32583929600757106,0.7628571428571007,0.10857142899999994,0.021428571000000396,0.08444444400000028,5.0
39,CFD-AF-216-106-N.jpg,CFD-AF-247-278-N.jpg,regular,Female_Asian_Female_Asian_v1,WithinGroup_Female_Asian,within_group,AF-216,Female,Asian,25.9333333333333,3.266666667,1.9,3.9,166.5,AF-247,Female,Asian,25.9642857142857,3.178571429,1.964285714,3.928571429,160.5,0.26219148783653007,0.030952380952399494,0.08809523800000019,0.06428571400000016,0.02857142899999987,6.0
40,CFD-BF-208-266-N.jpg,CFD-LM-225-130-N.jpg,regular,Female_Black_Male_Latino_v1,Intersectional_Female_Black_Male_Latino,intersectional,BF-208,Female,Black,26.1333333333333,3.366666667,2.733333333,3.466666667,115.0,LM-225,Male,Latino,24.7407407407407,3.407407407,2.703703704,3.518518519,133.5,0.6827837625472437,1.3925925925925995,0.04074073999999994,0.02962962899999999,0.051851851999999976,18.5
41,CFD-BM-239-136-N.jpg,CFD-WM-009-002-N.jpg,regular,Male_Black_Male_White_v1,EthnicityOnly_Black_White,ethnicity,BM-239,Male,Black,20.0769230769231,3.846153846,3.423076923,3.5,138.5,WM-009,Male,White,23.695652173913,4.076086957,3.346153846,3.510869565,141.5,0.6660500047377376,3.618729096989899,0.22993311100000025,0.076923077,0.010869565000000136,3.0
